Gene_model,Chromosome,Interval,Annotations_clean,IPR_terms,GO_terms
Glyma.01G000100,Gm01,78503-103594,"protein PHYLLO, chloroplastic-like isoform X5 [Glycine max]",NA,NA
Glyma.01G000212,Gm01,104594-106844,"photosystem II stability/assembly factor, chloroplast (HCF136);",IPR028203,NA
Glyma.01G000322,Gm01,122249-124336,"protein PHYLLO, chloroplastic-like isoform X1 [Glycine max]",NA,NA
Glyma.01G000400,Gm01,140764-146685,protein FAR1-RELATED SEQUENCE 9-like isoform X5 [Glycine max],IPR007527;IPR018289,GO:0008270
Glyma.01G000600,Gm01,166635-178645,protein FAR1-RELATED SEQUENCE 3-like isoform X1 [Glycine max]; ,IPR004330;IPR007527;IPR018289,GO:0008270
Glyma.01G000750,Gm01,181276-189017,ClC chloride channel family protein,IPR000644;IPR014743,GO:0005216;GO:0030554;GO:0055085
Glyma.01G000900,Gm01,194161-244103,uncharacterized protein LOC100800000 isoform X5 [Glycine max],NA,NA
Glyma.01G001000,Gm01,246974-252613,uncharacterized protein LOC100499919 isoform X2 [Glycine max],IPR015310,GO:0001671;GO:0051087
Glyma.01G001100,Gm01,256141-264490,chloroplast envelope membrane protein-like isoform X3 [Glycine max];,IPR004282,GO:0016021
Glyma.01G001200,Gm01,271352-276533,microtubule-associated protein TORTIFOLIA1-like isoform X1 [Glycine max];,IPR016024,GO:0005488
Glyma.01G001300,Gm01,277672-288572,cycloartenol synthase 1,IPR018333,GO:0003824;GO:0016866
Glyma.01G001325,Gm01,288791-289692,Unknown protein,NA,NA
Glyma.01G001350,Gm01,291382-291891,Unknown protein,NA,NA
Glyma.01G001500,Gm01,297755-311430,beta-amyrin synthase-like isoform 1 [Glycine max],IPR018333,GO:0003824;GO:0016866
Glyma.01G001600,Gm01,310975-320407,WD repeat-containing protein 36-like [Glycine max],IPR007319;IPR015943,GO:0005515;GO:0006364;GO:0032040
Glyma.01G001700,Gm01,319784-324926,"3-phosphoinositide-dependent protein kinase-1, putative",NA,NA
Glyma.01G001800,Gm01,325920-329195,receptor-like kinase 902,IPR011009;IPR013210;IPR013320,GO:0004672;GO:0005524;GO:0006468
Glyma.01G001900,Gm01,331318-335681,protein kinase family protein,IPR011009;IPR013320;IPR014729,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0006950
Glyma.01G002000,Gm01,336255-338839,Protein of unknown function (DUF581);,IPR007650,NA
Glyma.01G002100,Gm01,340843-347087,auxin response factor 19,IPR003311;IPR010525;IPR015300,GO:0003677;GO:0005634;GO:0009725;GO:0046983
Glyma.01G002200,Gm01,353520-357884,methyl-CPG-binding domain protein 02,IPR011124;IPR016177,GO:0003677;GO:0005634;GO:0008270
Glyma.01G002300,Gm01,368136-372466,Cation transport domain containing protein n=1 Tax=Acanthamoeba castellanii str. Neff RepID=L8GPJ3_ACACA; ,IPR003445,GO:0006812;GO:0008324;GO:0055085
Glyma.01G002400,Gm01,378769-381447,Phospholipase A2 family protein,IPR001211;IPR016090,GO:0004623;GO:0005509;GO:0006644;GO:0016042
Glyma.01G002501,Gm01,382353-384608,organellar single-stranded DNA binding protein 3,NA,NA
Glyma.01G002600,Gm01,384821-388556,ectonucleotide pyrophosphatase/phosphodiesterase,IPR002591,GO:0003824;GO:0008152
Glyma.01G002700,Gm01,389473-392944,thioredoxin O1,IPR005746;IPR012336,GO:0006662;GO:0015035;GO:0045454
Glyma.01G002800,Gm01,393466-394278,PRA1 (Prenylated rab acceptor) family protein;,IPR004895,NA
Glyma.01G002902,Gm01,395387-399784,methyltransferase type 11,IPR013216,GO:0008152;GO:0008168
Glyma.01G003000,Gm01,412900-414910,MYB transcription factor MYB128 [Glycine max],IPR001878;IPR009057,GO:0003676;GO:0003677;GO:0003682;GO:0008270
Glyma.01G003100,Gm01,419533-421932,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,NA,NA
Glyma.01G003200,Gm01,421739-425573,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase n=8 Tax=Burkholderia RepID=LPXA_BURA4;,IPR011004,NA
Glyma.01G003300,Gm01,426607-428802,Transcripteion factor n=1 Tax=Medicago truncatula RepID=G7KJT8_MEDTR,NA,NA
Glyma.01G003400,Gm01,429701-431371,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.01G003450,Gm01,431713-434093,Mitochondrial substrate carrier family protein,IPR018108;IPR023395,NA
Glyma.01G003500,Gm01,434212-436700,pollen-specific protein SF21-like [Glycine max];,IPR004142,NA
Glyma.01G003600,Gm01,437432-440563,substrate carrier family protein,NA,NA
Glyma.01G003700,Gm01,441175-448624,hypothetical protein,IPR008139;IPR021852,NA
Glyma.01G003800,Gm01,446969-450154,arginine methyltransferase 11; ,IPR025714;IPR025799,GO:0006479;GO:0008168
Glyma.01G003900,Gm01,460823-463208,1-aminocyclopropane-1-carboxylate synthase 9; ,IPR015424,GO:0003824;GO:0009058;GO:0030170
Glyma.01G004000,Gm01,464903-467217,phospholipase A2 family protein,IPR001211;IPR016090,GO:0004623;GO:0005509;GO:0006644;GO:0016042
Glyma.01G004100,Gm01,468289-473842,Regulator of Vps4 activity in the MVB pathway protein;,IPR005061,NA
Glyma.01G004200,Gm01,475080-477491,caffeoyl-CoA 3-O-methyltransferase;,IPR002935,GO:0008171
Glyma.01G004300,Gm01,479032-480422,Ribosomal protein L31e family protein,IPR000054;IPR023621,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.01G004401,Gm01,480674-482739,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.01G004500,Gm01,484040-487912,vacuolar protein sorting-associated protein 20.2;,IPR005024,GO:0015031
Glyma.01G004600,Gm01,488652-489097,arabinogalactan peptide 22-like [Glycine max];,IPR009424,NA
Glyma.01G004700,Gm01,491696-494705,meiotic nuclear division-like protein;,IPR005647,NA
Glyma.01G004800,Gm01,496658-502559,protein kinase family protein,IPR011009;IPR013320;IPR024788,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G004900,Gm01,507121-508835,MYB transcription factor MYB60 [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.01G005000,Gm01,512717-515862,zinc finger CCCH domain protein;,IPR000571,GO:0046872
Glyma.01G005100,Gm01,554668-559735,myo-inositol oxygenase 2,IPR007828,GO:0005506;GO:0005737;GO:0019310;GO:0050113;GO:0055114
Glyma.01G005200,Gm01,561336-566483,gamma-glutamyl transpeptidase 4,IPR000101,GO:0003840;GO:0006749
Glyma.01G005300,Gm01,567363-569712,AP-1 complex subunit sigma-like protein; ,IPR016635,GO:0006810;GO:0008565;GO:0015031
Glyma.01G005400,Gm01,572966-578282,phosphofructokinase 3,IPR000023;IPR012004;IPR022953,GO:0003872;GO:0005524;GO:0005945;GO:0006002;GO:0006096
Glyma.01G005500,Gm01,592966-600118,NAC domain-containing protein 8-like [Glycine max];,IPR003441,GO:0003677
Glyma.01G005600,Gm01,609212-612482,Leucine-rich repeat receptor-like protein kinase family protein,IPR001611;IPR013210,GO:0005515
Glyma.01G005800,Gm01,616417-621028,uncharacterized protein LOC100811541 isoform X2 [Glycine max];,IPR010410,NA
Glyma.01G005900,Gm01,625615-629390,profilin 4; ,IPR005455;IPR027310,GO:0003779;GO:0030036
Glyma.01G006000,Gm01,634962-636240,oxidative stress 3,NA,NA
Glyma.01G006100,Gm01,637453-648027,"arginine--tRNA ligase, cytoplasmic-like [Glycine max]",IPR001278,GO:0000166;GO:0004812;GO:0004814;GO:0005524;GO:0005737;GO:0006418;GO:0006420
Glyma.01G006400,Gm01,653382-661977,"arginine--tRNA ligase, cytoplasmic-like [Glycine max]",IPR001278,GO:0000166;GO:0004812;GO:0004814;GO:0005524;GO:0005737;GO:0006418;GO:0006420
Glyma.01G006500,Gm01,663196-691156,DNA-directed RNA polymerase family protein,IPR007644;IPR015712,GO:0003677;GO:0003899;GO:0032549
Glyma.01G006600,Gm01,692352-700863,Protein kinase superfamily protein,IPR011009;IPR015943;IPR016024,GO:0004672;GO:0004674;GO:0005488;GO:0005515;GO:0005524;GO:0006468
Glyma.01G006700,Gm01,701654-707504,"glutamate carboxypeptidase, putative",IPR003137;IPR007365;IPR007484,GO:0006508;GO:0008233
Glyma.01G006800,Gm01,713000-717744,pectinesterase 11; ,IPR011050,GO:0005618;GO:0030599;GO:0042545
Glyma.01G006900,Gm01,720029-723551,unknown protein; Has 48 Blast hits to 48 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NA,NA
